E22001,Summer Song,Summer Song,22,0,2566,1
E22002,กีตาร์โปร่ง / ไวโอลิน /เปียโน,Acoustic guitar / Violin / Piano,22,0,2566,1
E22003,อูคูเลเล่ เล่นง่ายๆ สไตล์เรา,Ukulele,22,0,2566,1
E22004,ดนตรีไทย / ดนตรีพื้นเมือง,Thai music / folk music,22,0,2566,1
E22005,นาฎลีลา,Dancing Dance,22,0,2566,1
E22006,Cover Dance,Cover Dance,22,0,2566,1
E22007,Creative Arts,Creative Arts,22,0,2566,1
E22008,แบดมินตัน /ฟุตซอล,Badminton / Futsal,22,0,2566,1
E22009,DIY สร้างสรรค์งานประดิษฐ์,DIY,22,0,2566,1
E22010,เร...รักษ์สมุนไพร,Herb,22,0,2566,1
E22011,สร้างสรรค์ผักผลไม้ด้วยมือเรา,Creative Fruit,22,0,2566,1
E22012,Cooking Mania,Cooking Mania,22,0,2566,1
E22013,English Club,English Club,22,0,2566,1
E22014,Chinese Club,Chinese Club,22,0,2566,1
E22015,Japanese Club,Japanese Club,22,0,2566,1
E22016,นักวิทยาศาสตร์น้อย,Little Scientist,22,0,2566,1
E22017,ศิลปะป้องกันตัว (เทควันโด),Taekwondo,22,0,2566,1
E22018,เย็นสบายว่ายน้ำพาเพลิน,swim,22,0,2566,1
E23001,Summer Song,Summer Song,23,0,2566,1
E23002,กีตาร์โปร่ง / ไวโอลิน /เปียโน,Acoustic guitar / Violin / Piano,23,0,2566,1
E23003,อูคูเลเล่ เล่นง่ายๆ สไตล์เรา,Ukulele,23,0,2566,1
E23004,ดนตรีไทย / ดนตรีพื้นเมือง,Thai music / folk music,23,0,2566,1
E23005,นาฎลีลา,Dancing Dance,23,0,2566,1
E23006,Cover Dance,Cover Dance,23,0,2566,1
E23007,Creative Arts,Creative Arts,23,0,2566,1
E23008,แบดมินตัน /ฟุตซอล,Badminton / Futsal,23,0,2566,1
E23009,DIY สร้างสรรค์งานประดิษฐ์,DIY,23,0,2566,1
E23010,เร...รักษ์สมุนไพร,Herb,23,0,2566,1
E23011,สร้างสรรค์ผักผลไม้ด้วยมือเรา,Creative Fruit,23,0,2566,1
E23012,Cooking Mania,Cooking Mania,23,0,2566,1
E23013,English Club,English Club,23,0,2566,1
E23014,Chinese Club,Chinese Club,23,0,2566,1
E23015,Japanese Club,Japanese Club,23,0,2566,1
E23016,นักวิทยาศาสตร์น้อย,Little Scientist,23,0,2566,1
E23017,ศิลปะป้องกันตัว (เทควันโด),Taekwondo,23,0,2566,1
E23018,เย็นสบายว่ายน้ำพาเพลิน,swim,23,0,2566,1
A31001,ภาษาไทย,Thai,31,0,2566,2
A31002,คณิตศาสตร์,Mathematics,31,0,2566,2
A31003,วิทยาศาสตร์,Science,31,0,2566,2
A31004,ภาษาอังกฤษ,English,31,0,2566,2
A31005,สังคมศึกษา,Social Studies,31,0,2566,2
A31006,ภาษาอังกฤษเพื่อการสื่อสาร,English for communication,31,0,2566,2
A32001,ภาษาไทย,Thai,32,0,2566,2
A32002,คณิตศาสตร์,Mathematics,32,0,2566,2
A32003,วิทยาศาสตร์,Science,32,0,2566,2
A32004,ภาษาอังกฤษ,English,32,0,2566,2
A32005,สังคมศึกษา,Social Studies,32,0,2566,2
A32006,ภาษาอังกฤษเพื่อการสื่อสาร,English for communication,32,0,2566,2
A33001,ภาษาไทย,Thai,33,0,2566,2
A33002,คณิตศาสตร์,Mathematics,33,0,2566,2
